date,price,amount_usd,qty_oz,trigger,phase
2022-01-04,1814.0,1000.0,0.551268,extreme_fear,accumulation
2022-01-10,1798.4,29.13258620689655,0.016199,weekly,accumulation
2022-01-18,1812.3,29.13258620689655,0.016075,weekly,accumulation
2022-01-19,1843.1,388.872068965517,0.210988,extreme_fear,accumulation
2024-06-10,2309.9915,42.24225,0.018287,weekly,distribution
2024-06-17,2320.7685,42.24225,0.018202,weekly,distribution
2024-06-24,2330.95,42.24225,0.018122,weekly,distribution
2024-07-01,2332.3215,42.24225,0.018112,weekly,distribution
2024-07-08,2361.8335,42.24225,0.017885,weekly,distribution
2024-07-12,2411.215,1000.0,0.414729,extreme_fear,distribution
2024-07-15,2422.6285,42.24225,0.017437,weekly,distribution
2024-07-22,2395.7650000000003,42.24225,0.017632,weekly,distribution
2024-07-29,2381.1815,42.24225,0.01774,weekly,distribution
2024-08-05,2404.9005,42.24225,0.017565,weekly,distribution
2024-08-06,2383.9765,13.81400000000194,0.005795,extreme_fear,distribution
