label,n_buys,n_extreme_fear,total_deployed_usd,total_oz,avg_cost_usd,last_price,portfolio_value,cfd_recycled_usd,total_profit_usd,return_pct,buys_per_phase,deployed_per_phase
plain_dca,314,0,10000.0,4.8629,2056.4,4319.19,21003.67,0.0,11003.67,110.04,"{'markup': 101, 'distribution': 57, 'markdown': 71, 'accumulation': 85}","{'markup': 3216.56, 'distribution': 1815.29, 'markdown': 2261.15, 'accumulation': 2707.01}"
phase_dca,314,0,9512.87,4.6086,2064.17,4319.19,19905.27,0.0,10392.4,109.25,"{'markup': 101, 'distribution': 57, 'markdown': 71, 'accumulation': 85}","{'markup': 2359.81, 'distribution': 2375.0, 'markdown': 2335.53, 'accumulation': 2442.53}"
phase_dca+efear,101,9,10000.0,5.4807,1824.57,4319.19,23672.39,0.0,13672.39,136.72,"{'markup': 48, 'distribution': 37, 'markdown': 8, 'accumulation': 8}","{'markup': 2500.0, 'distribution': 2500.0, 'markdown': 2500.0, 'accumulation': 2500.0}"
phase_dca+cfd,314,0,9644.28,4.6722,2064.17,4319.19,20180.24,138.14,10674.1,110.68,"{'markup': 101, 'distribution': 57, 'markdown': 71, 'accumulation': 85}","{'markup': 2392.41, 'distribution': 2407.81, 'markdown': 2367.79, 'accumulation': 2476.27}"
phase_dca+efear+cfd,102,10,10138.14,5.5542,1825.3,4319.19,23989.79,138.14,13989.79,137.99,"{'markup': 48, 'distribution': 38, 'markdown': 8, 'accumulation': 8}","{'markup': 2534.53, 'distribution': 2534.54, 'markdown': 2534.53, 'accumulation': 2534.53}"
