label,mf_thresh,ef_thresh,mf_extra_pct,ef_extra_pct,cfd_entry_thresh,total_injected_usd,total_gold_deployed,final_oz,avg_cost_usd,last_price,gold_value_usd,dca_cash_usd,cfd_capital_usd,total_assets_usd,total_return_usd,return_pct,n_buys,n_weekly_buys,n_mod_fear_buys,n_ext_fear_buys,n_sells,total_sell_proceeds,cfd_n_trades,cfd_n_tp,cfd_n_sl,cfd_win_rate_pct,cfd_pnl_usd
mf45_ef25_mp1.00_ep10.0_cfd40,45,25,1.0,10.0,40,13000.0,14666.1,3.8883,2364.82,4319.19,16794.44,2740.56,2081.98,21616.98,8616.98,66.28,314,198,62,54,41,5406.66,5,5,0,100.0,1081.98
mf35_ef25_mp0.75_ep10.0_cfd35,35,25,0.75,10.0,35,13000.0,14189.51,3.7668,2372.57,4319.19,16269.5,3011.63,2334.16,21615.28,8615.28,66.27,314,226,34,54,41,5201.14,7,6,1,85.7,1334.16
mf40_ef25_mp1.25_ep10.0_cfd40,40,25,1.25,10.0,40,13000.0,14588.82,3.8649,2364.85,4319.19,16693.28,2810.18,2081.98,21585.44,8585.44,66.04,314,212,48,54,41,5399.0,5,5,0,100.0,1081.98
mf45_ef20_mp2.00_ep20.0_cfd35,45,20,2.0,20.0,35,13000.0,15458.12,4.1357,2405.71,4319.19,17862.76,1878.25,1835.91,21576.92,8576.92,65.98,314,198,91,25,41,5336.37,4,4,0,100.0,835.91
mf35_ef25_mp1.50_ep10.0_cfd40,35,25,1.5,10.0,40,13000.0,14435.85,3.845,2370.35,4319.19,16607.09,2843.58,2081.98,21532.65,8532.65,65.64,314,226,34,54,41,5279.44,5,5,0,100.0,1081.98
mf45_ef25_mp0.75_ep10.0_cfd40,45,25,0.75,10.0,40,13000.0,14490.54,3.8397,2367.3,4319.19,16584.54,2846.52,2081.98,21513.05,8513.05,65.48,314,198,62,54,41,5337.07,5,5,0,100.0,1081.98
mf40_ef25_mp1.00_ep10.0_cfd40,40,25,1.0,10.0,40,13000.0,14462.73,3.8304,2366.79,4319.19,16544.37,2882.13,2081.98,21508.48,8508.48,65.45,314,212,48,54,41,5344.86,5,5,0,100.0,1081.98
mf35_ef25_mp1.25_ep10.0_cfd40,35,25,1.25,10.0,40,13000.0,14355.13,3.8193,2371.09,4319.19,16496.4,2898.54,2081.98,21476.92,8476.92,65.21,314,226,34,54,41,5253.67,5,5,0,100.0,1081.98
mf45_ef20_mp2.00_ep17.5_cfd35,45,20,2.0,17.5,35,13000.0,15111.17,4.0386,2393.8,4319.19,17443.51,2194.18,1835.91,21473.6,8473.6,65.18,314,198,91,25,41,5305.35,4,4,0,100.0,835.91
mf45_ef20_mp2.00_ep20.0_cfd30,45,20,2.0,20.0,30,13000.0,15458.12,4.1357,2405.71,4319.19,17862.76,1878.25,1721.79,21462.8,8462.8,65.1,314,198,91,25,41,5336.37,6,4,2,66.7,721.79
