module,family_guess,present_in_modules_dir,mentioned_in_registry_text,module_class,surface,survivor_status,runtime_useful,doc_governance,legacy_candidate,registry_action,machine_owner,next_go,notes
simex_bitget_bridge,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
strategy,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
trade_executor,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
trading_lab_v1,trading,yes,no,,modules/,,,,,review_missing_registry,,,
trading_realtime_v1,trading,yes,no,,modules/,,,,,review_missing_registry,,,
tradingview_observer,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
tradingview_observer_openclaw,openclaw,yes,no,,modules/,,,,,review_missing_registry,,,
trae_module_validator,singleton_or_support,yes,yes,,modules/,,,,,none,,,
ui_registry_msi,registry,yes,yes,,modules/,,,,,none,,,
validated_prompt_factory,singleton_or_support,yes,yes,,modules/,,,,,none,,,
validation_gate,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
vision_bot,vision,yes,yes,,modules/,,,,,none,,,
webhook,singleton_or_support,yes,no,,modules/,,,,,review_missing_registry,,,
winscp_transfer,singleton_or_support,yes,yes,,modules/,,,,,none,,,
workflow_post_change_v2,workflow_post_change,yes,yes,,modules/,,,,,none,,,
wrappers_registry_reader,registry,yes,no,,modules/,,,,,review_missing_registry,,,
